No.,Order Date,Current Production Department,Order Status,Last Date Modified,Modified By ID,Sell-to Customer No.,Shipment Date,Amount,Amount Including Tax,Sell-to Customer Name,Salesperson Code,INV,SENT?,COMMENT,#VALUE!,,,Kane Graphical - INV,,,1
SO2300254,2/13/2023,700,Shipped,2/20/2023,AKOHRT,5602,2/17/2023,32.1,34.1,Educational Employees CU,HSE,INV1230123,,Email Invoices To:  Accounting@myeecu.org,,,,,,,
SO2300255,2/13/2023,700,Shipped,2/20/2023,AKOHRT,8917,2/20/2023,200.47,200.47,Avidia Bank,HSE,INV1230124,,Email Invoices To: e.grasso@avidiabank.com,,,,,,,
SO2300257,2/13/2023,700,Shipped,2/20/2023,AKOHRT,4609,2/17/2023,20.1,20.1,First National Bank,HSE,INV1230125,,Email Invoice To:  TaylorA@fnblifetime.com,,,,,,,
SO2300258,2/16/2023,700,Shipped,2/20/2023,AKOHRT,1533,2/20/2023,20.1,20.1,Minster Bank,HSE,INV1230126,,Email Invoices To:  MClune@MinsterBank.com,,,,,,,
SO2300261,2/14/2023,700,Shipped,2/20/2023,AKOHRT,8121,2/17/2023,20.1,20.1,First National Bank,HSE,INV1230127,,Email Invoices To:  ap@fnbank.net,,,,,,,
SO2300262,2/14/2023,700,Shipped,2/20/2023,AKOHRT,8121,2/17/2023,20.1,20.1,First National Bank,HSE,INV1230128,,Email Invoices To:  ap@fnbank.net,,,,,,,
SO2300268,2/14/2023,700,Shipped,2/20/2023,AKOHRT,1414,2/17/2023,52.3,55.49,Mechanics Bank,MRK,,,,,,,,,,
SO2300269,2/14/2023,700,Shipped,2/20/2023,AKOHRT,1414,2/17/2023,78.75,83.56,Mechanics Bank,MRK,,,,,,,,,,
SO2300270,2/14/2023,700,Shipped,2/20/2023,AKOHRT,1414,2/17/2023,30.3,32.01,Mechanics Bank,MRK,,,,,,,,,,
SO2300276,2/15/2023,700,Shipped,2/20/2023,AKOHRT,9221,2/20/2023,40.3,40.3,Lakeside Bank,HSE,INV1230132,,Email Invoices To: Idegeyter@mylksb.bank,,,,,,,
SO2300281,2/15/2023,700,Shipped,2/20/2023,AKOHRT,1414,2/20/2023,30.3,32.34,Mechanics Bank,MRK,,,,,,,,,,
SO2300284,2/15/2023,700,Shipped,2/20/2023,AKOHRT,7189,2/17/2023,20.1,20.1,BancFirst,HSE,INV1230134,,Email Invoices To:  Travis.Powers@BancFirst.bank,,,,,,,
SO2300285,2/15/2023,700,Shipped,2/20/2023,AKOHRT,7189,2/17/2023,20.1,20.1,BancFirst,HSE,INV1230135,,Email Invoices To:  Travis.Powers@BancFirst.bank,,,,,,,
SO2300287,2/15/2023,700,Shipped,2/20/2023,AKOHRT,1414,2/20/2023,74.3,80.41,Mechanics Bank,MRK,,,,,,,,,,
SO2300288,2/15/2023,700,Shipped,2/20/2023,AKOHRT,1414,2/20/2023,52.3,56.15,Mechanics Bank,MRK,,,,,,,,,,
SO2300291,2/16/2023,700,Shipped,2/20/2023,AKOHRT,8121,2/17/2023,32.1,32.1,First National Bank,HSE,INV1230138,,Email Invoices To:  ap@fnbank.net,,,,,,,
SO2300294,2/16/2023,700,Shipped,2/20/2023,AKOHRT,8471,2/20/2023,24.1,24.1,Kirkpatrick Bank,HSE,INV1230139,,Email Invoice To:  sjackson2@kirkpatrickbank.com,,,,,,,
SO2300295,2/16/2023,700,Shipped,2/20/2023,AKOHRT,6511,2/20/2023,24.1,24.1,Bank of the Lowcountry,HSE,INV1230140,,Email Invoice to: msmyly@banklowcountry.com,,,,,,,
